discovery_method,months_since_first,active_artists,total_artists,pct_retained
ambiguous,0,992,992,100.0
ambiguous,1,145,992,14.6
ambiguous,2,114,992,11.5
ambiguous,3,106,992,10.7
ambiguous,4,99,992,10.0
ambiguous,5,85,992,8.6
ambiguous,6,80,992,8.1
ambiguous,7,93,992,9.4
ambiguous,8,78,992,7.9
ambiguous,9,74,992,7.5
ambiguous,10,80,992,8.1
ambiguous,11,81,992,8.2
ambiguous,12,72,992,7.3
ambiguous,13,72,992,7.3
ambiguous,14,66,992,6.7
ambiguous,15,66,992,6.7
ambiguous,16,72,992,7.3
ambiguous,17,70,992,7.1
ambiguous,18,64,992,6.5
ambiguous,19,62,992,6.3
ambiguous,20,66,992,6.7
ambiguous,21,64,992,6.5
ambiguous,22,54,992,5.4
ambiguous,23,51,992,5.1
ambiguous,24,53,992,5.3
ambiguous,25,37,992,3.7
ambiguous,26,37,992,3.7
ambiguous,27,42,992,4.2
ambiguous,28,41,992,4.1
ambiguous,29,32,992,3.2
ambiguous,30,40,992,4.0
ambiguous,31,35,992,3.5
ambiguous,32,28,992,2.8
ambiguous,33,23,992,2.3
ambiguous,34,24,992,2.4
ambiguous,35,25,992,2.5
ambiguous,36,24,992,2.4
ambiguous,37,16,992,1.6
ambiguous,38,13,992,1.3
ambiguous,39,17,992,1.7
ambiguous,40,15,992,1.5
ambiguous,41,12,992,1.2
ambiguous,42,16,992,1.6
ambiguous,43,13,992,1.3
ambiguous,44,10,992,1.0
ambiguous,45,7,992,0.7
ambiguous,46,11,992,1.1
ambiguous,47,7,992,0.7
ambiguous,48,2,992,0.2
deliberate,0,1480,1480,100.0
deliberate,1,509,1480,34.4
deliberate,2,362,1480,24.5
deliberate,3,328,1480,22.2
deliberate,4,340,1480,23.0
deliberate,5,364,1480,24.6
deliberate,6,327,1480,22.1
deliberate,7,262,1480,17.7
deliberate,8,286,1480,19.3
deliberate,9,284,1480,19.2
deliberate,10,299,1480,20.2
deliberate,11,324,1480,21.9
deliberate,12,300,1480,20.3
deliberate,13,288,1480,19.5
deliberate,14,301,1480,20.3
deliberate,15,329,1480,22.2
deliberate,16,330,1480,22.3
deliberate,17,312,1480,21.1
deliberate,18,291,1480,19.7
deliberate,19,289,1480,19.5
deliberate,20,282,1480,19.1
deliberate,21,288,1480,19.5
deliberate,22,266,1480,18.0
deliberate,23,250,1480,16.9
deliberate,24,239,1480,16.1
deliberate,25,222,1480,15.0
deliberate,26,236,1480,15.9
deliberate,27,253,1480,17.1
deliberate,28,233,1480,15.7
deliberate,29,201,1480,13.6
deliberate,30,229,1480,15.5
deliberate,31,236,1480,15.9
deliberate,32,225,1480,15.2
deliberate,33,217,1480,14.7
deliberate,34,213,1480,14.4
deliberate,35,212,1480,14.3
deliberate,36,197,1480,13.3
deliberate,37,187,1480,12.6
deliberate,38,175,1480,11.8
deliberate,39,175,1480,11.8
deliberate,40,160,1480,10.8
deliberate,41,152,1480,10.3
deliberate,42,134,1480,9.1
deliberate,43,119,1480,8.0
deliberate,44,96,1480,6.5
deliberate,45,75,1480,5.1
deliberate,46,83,1480,5.6
deliberate,47,87,1480,5.9
deliberate,48,52,1480,3.5
passive,0,1003,1003,100.0
passive,1,212,1003,21.1
passive,2,147,1003,14.7
passive,3,145,1003,14.5
passive,4,157,1003,15.7
passive,5,153,1003,15.3
passive,6,168,1003,16.7
passive,7,133,1003,13.3
passive,8,142,1003,14.2
passive,9,141,1003,14.1
passive,10,146,1003,14.6
passive,11,162,1003,16.2
passive,12,140,1003,14.0
passive,13,143,1003,14.3
passive,14,134,1003,13.4
passive,15,149,1003,14.9
passive,16,159,1003,15.9
passive,17,150,1003,15.0
passive,18,152,1003,15.2
passive,19,152,1003,15.2
passive,20,139,1003,13.9
passive,21,145,1003,14.5
passive,22,140,1003,14.0
passive,23,127,1003,12.7
passive,24,132,1003,13.2
passive,25,110,1003,11.0
passive,26,125,1003,12.5
passive,27,121,1003,12.1
passive,28,123,1003,12.3
passive,29,111,1003,11.1
passive,30,128,1003,12.8
passive,31,112,1003,11.2
passive,32,118,1003,11.8
passive,33,115,1003,11.5
passive,34,111,1003,11.1
passive,35,118,1003,11.8
passive,36,104,1003,10.4
passive,37,92,1003,9.2
passive,38,89,1003,8.9
passive,39,93,1003,9.3
passive,40,102,1003,10.2
passive,41,82,1003,8.2
passive,42,90,1003,9.0
passive,43,65,1003,6.5
passive,44,51,1003,5.1
passive,45,41,1003,4.1
passive,46,53,1003,5.3
passive,47,54,1003,5.4
passive,48,11,1003,1.1
