day_of_week,day_num,hour_of_day,skip_rate,n
Sunday,0,0,0.47058823529411764,765
Sunday,0,1,0.44696969696969696,396
Sunday,0,2,0.22897196261682243,214
Sunday,0,3,0.3720136518771331,293
Sunday,0,4,0.28753993610223644,313
Sunday,0,5,0.3261455525606469,371
Sunday,0,6,0.3742802303262956,521
Sunday,0,7,0.3717948717948718,936
Sunday,0,8,0.3708467309753483,933
Sunday,0,9,0.37282608695652175,920
Sunday,0,10,0.3915470494417863,1254
Sunday,0,11,0.3951367781155015,1645
Sunday,0,12,0.49876543209876545,2025
Sunday,0,13,0.4968321013727561,1894
Sunday,0,14,0.45,1160
Sunday,0,15,0.44022503516174405,1422
Sunday,0,16,0.44065387348969437,1407
Sunday,0,17,0.45117335352006055,1321
Sunday,0,18,0.450036469730124,1371
Sunday,0,19,0.3914081145584726,838
Sunday,0,20,0.2648401826484018,657
Sunday,0,21,0.2818181818181818,440
Sunday,0,22,0.40066225165562913,604
Sunday,0,23,0.3894736842105263,570
Monday,1,0,0.47058823529411764,629
Monday,1,1,0.3782771535580524,267
Monday,1,2,0.39593908629441626,197
Monday,1,3,0.32653061224489793,245
Monday,1,4,0.36395759717314485,283
Monday,1,5,0.273542600896861,223
Monday,1,6,0.43297587131367293,746
Monday,1,7,0.41863517060367456,1524
Monday,1,8,0.3710965867828613,1377
Monday,1,9,0.3643958868894602,1556
Monday,1,10,0.41074950690335305,2028
Monday,1,11,0.43843358901897456,2477
Monday,1,12,0.3881006864988558,2185
Monday,1,13,0.3793103448275862,1711
Monday,1,14,0.3294375456537619,1369
Monday,1,15,0.3934156378600823,1215
Monday,1,16,0.46494907130017976,1669
Monday,1,17,0.43628269337785197,1797
Monday,1,18,0.4760322733744661,2107
Monday,1,19,0.4764002517306482,1589
Monday,1,20,0.3654390934844193,706
Monday,1,21,0.34520123839009287,646
Monday,1,22,0.44152431011826543,761
Monday,1,23,0.48186528497409326,772
Tuesday,2,0,0.48131868131868133,455
Tuesday,2,1,0.4475920679886686,353
Tuesday,2,2,0.2572614107883817,241
Tuesday,2,3,0.4622356495468278,331
Tuesday,2,4,0.35,280
Tuesday,2,5,0.3,290
Tuesday,2,6,0.3506024096385542,830
Tuesday,2,7,0.38786565547128926,1846
Tuesday,2,8,0.36195995785036883,1898
Tuesday,2,9,0.341031149301826,1862
Tuesday,2,10,0.4169900819318672,2319
Tuesday,2,11,0.34658753709198814,1685
Tuesday,2,12,0.34078549848942596,1655
Tuesday,2,13,0.4175289105295192,1643
Tuesday,2,14,0.4118046132971506,1474
Tuesday,2,15,0.3668543845534996,1243
Tuesday,2,16,0.44658493870402804,1713
Tuesday,2,17,0.47968605724838415,2166
Tuesday,2,18,0.43201542912246865,2074
Tuesday,2,19,0.37942779291553136,1468
Tuesday,2,20,0.36268656716417913,670
Tuesday,2,21,0.2849740932642487,579
Tuesday,2,22,0.36850393700787404,635
Tuesday,2,23,0.44325481798715205,934
Wednesday,3,0,0.5251282051282051,975
Wednesday,3,1,0.5451388888888888,576
Wednesday,3,2,0.4025423728813559,236
Wednesday,3,3,0.287292817679558,181
Wednesday,3,4,0.2604166666666667,96
Wednesday,3,5,0.2978723404255319,141
Wednesday,3,6,0.3794466403162055,506
Wednesday,3,7,0.4158311345646438,1895
Wednesday,3,8,0.41222760290556903,1652
Wednesday,3,9,0.39496940856560164,1471
Wednesday,3,10,0.41815680880330125,2181
Wednesday,3,11,0.3964894166236448,1937
Wednesday,3,12,0.36152471709350803,1679
Wednesday,3,13,0.343027591349739,1341
Wednesday,3,14,0.2921875,1280
Wednesday,3,15,0.40792682926829266,1640
Wednesday,3,16,0.4190064794816415,1852
Wednesday,3,17,0.5009552923194498,2617
Wednesday,3,18,0.5232602845059593,2601
